zeit,erkrankte,genesene,tote,stationaer,schwerer_verlauf,neu_erkrankte,aktive_faelle
1583932500,0,0,0,0,0,0,0
1584176400,2,0,0,0,0,2,2
1584219780,8,0,0,0,0,6,8
1584385200,12,0,0,0,0,4,12
1584475200,20,0,0,0,0,8,20
1584558000,29,0,0,0,0,9,29
1584645900,45,0,0,0,0,16,45
1584725400,55,0,1,0,0,10,54
1584811800,74,0,1,0,0,19,73
1584898200,77,0,1,0,0,3,76
1584984600,90,0,1,0,0,13,89
1585071000,93,0,1,0,0,3,92
1585155600,99,5,1,0,0,6,93
1585242000,102,5,1,0,0,3,96
1585328400,110,5,1,0,0,8,104
1585400400,114,5,1,0,0,4,108
1585494000,116,5,1,0,0,2,110
1585584000,119,5,1,0,0,3,113
1585675800,122,6,1,0,0,3,115
1585753200,128,6,1,0,0,6,121
1585845000,133,24,1,4,2,5,108
1585926000,136,29,1,5,2,3,106
1586005200,139,36,1,7,1,3,102
1586098823,142,36,1,7,2,3,105
1586188800,145,49,1,7,2,3,95
1586271600,147,49,1,6,2,2,97
1586361600,148,49,1,5,1,1,98
1586455200,155,65,1,5,3,7,89
1586530800,155,72,1,6,3,0,82
1586617200,155,77,1,8,4,0,77
1586711100,155,86,2,7,3,0,67
1586793600,155,90,2,7,3,0,63
1586885400,155,90,3,6,2,0,62
1586970300,155,103,3,2,1,0,49
1587058200,155,107,3,4,1,0,45
1587142800,155,117,3,2,1,0,35
1587229500,155,124,3,3,1,0,28
1587315600,155,124,3,2,1,0,28
1587400200,155,124,3,2,1,0,28
1587488400,155,130,3,2,1,0,22
1587574800,155,134,3,2,1,0,18
1587661200,156,144,3,2,1,1,9
1587747600,157,144,3,2,1,1,10
1587830700,158,144,3,2,1,1,11
1587920400,158,144,3,2,1,0,11
1588006800,158,144,3,2,1,0,11
1588093200,158,146,3,2,1,0,9
1588179600,158,148,3,1,1,0,7
1588266000,158,149,3,1,1,0,6
1588350600,158,149,3,1,1,0,6
1588438800,158,149,3,1,1,0,6
1588525200,158,149,3,1,1,0,6
1588611600,158,149,3,1,1,0,6
1588701600,158,149,3,1,1,0,6
1588784405,159,149,3,1,1,1,7
1588870800,159,149,3,1,1,0,7
1588957200,158,149,3,1,1,-1,6
1589043600,158,149,3,1,1,0,6
1589130000,158,150,3,1,1,0,5
1589216400,158,150,3,1,1,0,5
1589302800,159,151,3,1,1,1,5
1589389200,159,151,3,1,1,0,5
1589475600,159,152,3,1,1,0,4
1589562000,159,154,3,0,0,0,2
1589648400,159,154,3,0,0,0,2
1589734800,159,154,3,0,0,0,2
1589814000,159,154,3,0,0,0,2
1589871600,159,154,3,0,0,0,2
1589994000,159,154,3,0,0,0,2
1590080400,159,154,3,0,0,0,2
1590166800,159,154,3,0,0,0,2
1590253200,159,154,3,0,0,0,2
1590339600,159,154,3,0,0,0,2
1590419316,159,155,3,0,0,0,1
1590511977,159,155,3,0,0,0,1
1590605202,159,155,3,0,0,0,1
1590679133,159,156,3,0,0,0,0
1590769157,159,156,3,0,0,0,0
1590854214,160,156,3,1,0,1,1
1590944400,160,156,3,1,0,0,1
1591037670,160,156,3,1,0,0,1
1591112870,160,156,3,1,0,0,1
1591199824,160,156,3,1,0,0,1
1591283974,160,156,3,1,0,0,1
1591457781,160,156,3,1,0,0,1
1591520400,160,156,3,1,0,0,1
1591632000,160,156,3,1,0,0,1
1591718400,160,156,3,1,0,0,1
1591808400,160,156,3,1,0,0,1
1591893600,160,156,3,1,0,0,1
1591976700,161,156,3,1,0,1,2
1592083800,161,156,3,1,0,0,2
1592148600,161,156,3,1,0,0,2
1592245200,161,156,3,1,0,0,2
1592325900,161,156,3,1,0,0,2
1592464813,161,157,3,0,0,0,1
1592557200,161,157,3,0,0,0,1
1592655600,161,157,3,0,0,0,1
1592767200,161,157,3,0,0,0,1
1592814000,161,157,3,0,0,0,1
1592925626,161,157,3,0,0,0,1
1592992800,161,157,3,0,0,0,1
1593096300,161,157,3,0,0,0,1
1593180000,161,157,3,0,0,0,1
1593273600,161,157,3,0,0,0,1
1593341100,161,157,3,0,0,0,1
1593444000,161,157,3,0,0,0,1
1593545400,161,157,3,0,0,0,1
1593604800,161,157,3,0,0,0,1
1593702000,161,157,3,0,0,0,1
1593763200,161,158,3,0,0,0,0
1593870000,161,158,3,0,0,0,0
1593964800,161,158,3,0,0,0,0
1594018800,161,158,3,0,0,0,0
1594122000,161,158,3,0,0,0,0
1594222200,161,158,3,0,0,0,0
1594305000,161,158,3,0,0,0,0
1594386000,161,158,3,0,0,0,0
1594454429,161,158,3,0,0,0,0
1594454626,162,158,3,0,0,1,1
1594582821,163,158,3,0,0,1,2
1594629000,163,158,3,0,0,0,2
1594742400,163,158,3,0,0,0,2
1594828800,163,158,3,0,0,0,2
1594915200,163,158,3,0,0,0,2
1594989000,163,158,3,0,0,0,2
1595085300,163,158,3,0,0,0,2
1595171700,163,158,3,0,0,0,2
1595258100,163,158,3,0,0,0,2
1595355300,163,158,3,0,0,0,2
1595453103,163,159,3,0,0,0,1
1595509200,163,159,3,0,0,0,1
1595574289,163,160,3,0,0,0,0
1595692800,163,160,3,0,0,0,0
1595779200,163,160,3,0,0,0,0
1595840400,163,160,3,0,0,0,0
1595952000,163,160,3,0,0,0,0
1596017700,163,160,3,0,0,0,0
1596121200,163,160,3,0,0,0,0
1596228300,163,160,3,0,0,0,0
1596300300,163,160,3,0,0,0,0
1596386700,163,160,3,0,0,0,0
1596487500,163,160,3,0,0,0,0
1596526200,163,160,3,0,0,0,0
1596600000,163,160,3,0,0,0,0
1596686400,163,160,3,0,0,0,0
1596772800,163,160,3,0,0,0,0
1596859200,163,160,3,0,0,0,0
1596968095,164,160,3,0,0,1,1
1597043695,164,160,3,0,0,0,1
1597165429,165,160,3,0,0,1,2
1597216230,165,160,3,1,1,0,2
1597335543,165,160,3,1,1,0,2
1597429698,165,160,3,1,1,0,2
1597516098,165,160,3,1,1,0,2
1597602498,165,160,3,1,1,0,2
1597661081,165,160,3,1,1,0,2
1597764955,165,160,3,1,1,0,2
1597820737,167,160,3,1,1,2,4
1597943810,167,160,3,1,1,0,4
1598018067,167,160,3,1,1,0,4
1598077186,167,160,3,1,1,0,4
1598163586,167,160,3,1,1,0,4
1598386500,167,160,3,1,1,0,4
1598447700,170,161,3,1,0,3,6
1598544000,171,161,3,0,0,1,7
1598857849,174,161,3,0,0,3,10
1598943600,175,163,3,0,0,1,9
1599040800,178,164,3,0,0,2,11
1599148816,179,165,3,0,0,1,11
1599285600,182,165,3,0,0,3,14
1599415200,182,165,3,0,0,3,14
1599498000,182,165,3,0,0,3,14
1599584400,183,168,3,0,0,1,12
1599672600,184,169,3,0,0,1,12
1599753600,188,169,3,0,0,4,16
1600023600,194,173,3,1,0,2,18
1600090200,195,173,3,1,0,1,19
1600185600,195,175,3,1,0,0,17
1600270200,200,175,3,1,0,5,22
1600360200,201,177,3,1,0,1,21
1600446600,203,178,3,1,0,2,22
1600533000,204,178,3,1,0,1,23
1600615800,204,178,3,1,0,1,23
1600707600,207,180,3,1,0,3,24
1600786800,209,187,3,1,0,2,19
1600875000,210,187,3,1,0,1,20
1600961400,210,192,3,1,0,0,15
1601049600,210,192,3,1,0,0,15
1601136000,211,192,3,1,0,1,16
1601222400,211,193,3,1,0,0,15
1601308800,212,196,3,1,0,1,13
1601395200,215,200,3,1,0,3,12
1601481600,217,201,3,1,0,2,13
1601568000,219,202,3,1,0,2,14
1601661600,221,202,3,1,0,2,16
1601748000,224,202,3,1,0,3,19
1601827200,225,202,3,1,0,1,20
1601911283,227,204,3,1,0,2,20
1602000000,228,207,3,1,0,1,18
1602086400,234,207,3,2,0,6,24
1602172800,237,211,3,1,0,3,23
1602266400,242,212,3,1,0,5,27
1602352800,245,212,3,1,1,2,30
1602439200,246,212,3,1,1,1,31
1602518400,250,218,4,0,0,4,28
1602604800,253,220,4,2,0,3,29
1602691200,254,222,4,3,0,1,28
1602777600,256,224,4,3,0,2,28
